"","Unicode","Description"
"591","U+1F497","GROWING HEART"
"592","U+1F498","HEART WITH ARROW"
"593","U+1F499","BLUE HEART"
"594","U+1F49A","GREEN HEART"
"595","U+1F49B","YELLOW HEART"
"596","U+1F49C","PURPLE HEART"
"597","U+1F49D","HEART WITH RIBBON"
"598","U+1F49E","REVOLVING HEARTS"
"599","U+1F49F","HEART DECORATION"
"600","U+1F4A0","DIAMOND SHAPE WITH A DOT INSIDE"
"601","U+1F4A1","ELECTRIC LIGHT BULB"
"602","U+1F4A2","ANGER SYMBOL"
"603","U+1F4A3","BOMB"
"604","U+1F4A4","SLEEPING SYMBOL"
"605","U+1F4A5","COLLISION SYMBOL"
"606","U+1F4A6","SPLASHING SWEAT SYMBOL"
"607","U+1F4A7","DROPLET"
"608","U+1F4A8","DASH SYMBOL"
"609","U+1F4A9","PILE OF POO"
"610","U+1F4AA","FLEXED BICEPS"
"611","U+1F4AB","DIZZY SYMBOL"
"612","U+1F4AC","SPEECH BALLOON"
"613","U+1F4AE","WHITE FLOWER"
"614","U+1F4AF","HUNDRED POINTS SYMBOL"
"615","U+1F4B0","MONEY BAG"
"616","U+1F4B1","CURRENCY EXCHANGE"
"617","U+1F4B2","HEAVY DOLLAR SIGN"
"618","U+1F4B3","CREDIT CARD"
"619","U+1F4B4","BANKNOTE WITH YEN SIGN"
"620","U+1F4B5","BANKNOTE WITH DOLLAR SIGN"
"621","U+1F4B8","MONEY WITH WINGS"
"622","U+1F4B9","CHART WITH UPWARDS TREND AND YEN SIGN"
"623","U+1F4BA","SEAT"
